Cuts,No Cut,trigger,1 tight lep,loose #it{e} veto,loose #mu veto,2 jet sel.,1 b jet sel.,MET Filters,mTW>50
Run F,6377869,2894847,1387068,1278490,1273016,68134,5279,5277,
Run G,112251806,51942793,25116847,23151634,23046382,1229190,95240,95207,
Run H,99065739,59308869,28337362,26132495,26002270,1382116,107844,107809,
,,,,,,,,,
data,217695414,114146509,54841277,50562619,50321668,2679440,208363,208293,137514
,,,,,,,,,
Tchannel,546813,71897,52940,52627,52263,19320,10560,10560,7832
Tbarchannel,333947,46150,34225,34026,33787,12144,6646,6646,4923
Total_tch,880761,118047,87165,86653,86050,31464,17205,17205,12755
TWChannel,416770,116378,88589,83956,74236,26525,12104,12104,7803
TbarWChannel,416496,116273,88593,83973,74239,26543,12066,12066,7784
SChannel,11682,2412,1746,1735,1720,631,319,319,1219
Total_twS,844947,235062,178928,169664,150196,53699,24489,24489,16806
TTbar Semi,3643318,832505,631605,626008,620911,158702,75224,75224,52149
TTbar Fully,1125821,373239,268438,224612,134403,47709,24637,24637,20422
Total_ttbar,4769138,1205744,900043,850621,755314,206411,99861,99861,72571
Wp0Jets,211283956,38702066,23335503,23331746,23294923,25714,476,476,432
Wp1Jets,27153493,6281285,4546164,4538448,4530214,42202,654,654,475
Wp2Jets,6982456,1571320,1161681,1158003,1155707,472167,9866,9866,7098
Total_wJets,245419905,46554671,29043348,29028197,28980844,540083,10996,10996,8005
DYJets,29028424,7515523,3832426,1568857,1551169,107634,4235,4235,3810
WWTo2L2NU,118485,36172,25022,21341,13400,1418,25,25,19
WZTo2L2Q,28180,7985,5028,2332,2304,713,12,12,5
ZZTo2L2Q,17949,5227,3300,1493,1474,473,52,52,28
Total_Diboson,29193037,7564907,3865777,1594024,1568347,110237,4323,4323,3861
QCD,8493460941,30977125,5278958,5256244,5254250,656918,38500,38500,4722
Total MC w/o QCD,281107788,55678431,34075260,31729158,31540751,941894,156874,156874,113998
Total MC,8774568729,86655556,39354218,36985403,36795001,1598812,195374,195374,118720
,,,,,,,,,
MC/Data w/o QCD,129,49,62,63,63,35,75,75,83
MC/Data,4031,76,72,73,73,60,94,94,86
