Cuts,No Cut,trigger,1 tight lep,loose #mu veto,loose #it{e} veto,2 jet sel.,1 b jet sel.,MET Filters,mTW>50
Run F,4192091,2942482,1736657,1651501,1650172,54017,5051,,
Run G,138085963,96576042,57011660,54250478,54207175,1753145,164363,,
Run H,157237100,110774096,65075319,61874767,61824347,1991350,186196,,
,,,,,,,,,
data,299515154,210292620,123823636,117776746,117681694,3798512,355610,,
,,,,,,,,,
,,,,,,,,,
Tchannel,546813,148593,109148,108416,108012,39907,21621,21621,15596
Tbarchannel,333947,93960,69361,68896,68633,24550,13399,13399,9660
Total_tch,880761,242554,178509,177312,176645,64457,35020,35020,25257
TWChannel,416770,172103,126935,121382,120243,43407,20394,20394,12844
TbarWChannel,416496,172146,127018,121445,120314,43581,20411,20411,12860
SChannel,11682,4353,3163,3138,3126,1131,566,566,2099
Total_twS,844947,348602,257116,245964,243683,88120,41371,41371,27803
TTbar Semi,3643318,1292831,934521,927158,921547,239607,113996,113996,76694
TTbar Fully,1125821,554248,378474,325328,317383,110234,57982,57982,45389
Total_ttbar,4769138,1847079,1312995,1252486,1238931,349841,171978,171978,122082
Wp0Jets,211283956,94624929,66010244,65906506,65889338,78607,1953,1953,1583
Wp1Jets,27153493,11564006,8667096,8651695,8639336,74397,1175,1175,792
Wp2Jets,6982456,2743281,2069778,2065848,2060750,813452,16317,16317,11505
Total_wJets,245419905,108932216,76747118,76624049,76589424,966456,19446,19446,13881
DYJets,29028424,13168569,6229069,3356210,3349642,118557,4242,4242,3833
WWTo2L2NU,118485,60467,42098,37127,36510,4202,54,54,36
WZTo2L2Q,28180,11688,6479,3533,3517,958,16,16,6
ZZTo2L2Q,17949,7592,4218,2269,2259,637,65,65,33
Total_Diboson,29193037,13248317,6281864,3399140,3391928,124354,4377,4377,3909
QCD,3855717381,63351056,9873015,9552995,9544115,492212,69363,69363,14777
Total MC w/o QCD,281107788,124618767,84777602,81698951,81640610,1593228,272191,,192931
Total MC,4136825170,187969824,94650617,91251947,91184725,2085439,341554,,207708
,,,,,,,,,
MC/Data w/o QCD,93.8542790192178,59.2596959893314,68.4664127776057,69.3676418263415,69.3740949293269,41.9434668101615,76.5419588875453,,
MC/Data,1381.17391200847,89.3848883237082,76.4398623942847,77.4787465855102,77.4842048330814,54.9014777365453,96.047428362532,,
