Cuts,No Cut,trigger,1 tight lep,loose #it{e} veto,loose #mu veto,2 jet sel.,1 b jet sel.,MET Filters,mTW>50
Run B ver1,735339,223776,89919,82646,82373,4486,338,338,
Run B ver2,144742045,47084396,19879873,18328132,18255707,959710,75387,75350,
Run C,62085454,21488143,8601065,7927573,7891410,418687,32723,32711,
Run D,99020648,36030234,14155259,13062422,13004682,674288,52244,52217,
Run E,80915860,32013085,13088179,12079005,12017152,623400,47851,47835,
Run F,42670048,18520002,8133248,7498638,7459266,392581,29290,29277,
,,,,,,,,,
data,430169394,155359636,63947543,58978416,58710590,3073152,237833,237728,
,,,,,,,,,
Tchannel,666431,89058,66393,66020,65618,24226,13091,13091,
Tbarchannel,412170,56892,42699,42455,42188,15206,8221,8221,
Total_tch,1078601,145951,109092,108475,107806,39432,21313,21313,
TWChannel,484389,134441,102832,97415,86222,30719,13791,13791,
TbarWChannel,484411,134284,102690,97267,86201,30688,13832,13832,
SChannel,20793,4273,3133,3113,3090,1132,571,571,
Total_twS,989593,272998,208654,197795,175513,62539,28193,28193,
TTbar Semi,4278869,971838,741553,735102,729760,186715,87198,87198,
TTbar Fully,1339784,440993,319354,266995,160699,57103,29237,29237,
Total_ttbar,5618653,1412830,1060907,1002097,890459,243818,116435,116435,
Wp0Jets,307190388,56454637,34868217,34862809,34819910,37101,1015,1015,
Wp1Jets,64641177,14958828,10993247,10974422,10958194,97838,1291,1291,
Wp2Jets,26536221,5953479,4447256,4433712,4426367,1813333,35158,35158,
Total_wJets,398367787,77366944,50308720,50270943,50204471,1948272,37463,37463,
DYJets,58163499,15865025,8530809,3289658,3267047,216989,7942,7942,
WWTo2L2NU,138326,42025,29418,25045,15840,1652,25,25,
WZTo2L2Q,52625,14991,9533,4446,4394,1374,20,20,
ZZTo2L2Q,32240,9411,6001,2725,2693,871,94,94,
Total_Diboson,58386690,15931452,8575761,3321874,3289974,220886,8080,8080,
QCD,9443630118,34940428,6565634,6526305,6524720,889342,21653,21653,
Total MC w/o QCD,464441324,95130175,60263134,54901185,54668223,2514947,211485,211485,
Total MC,9908071442,130070604,66828768,61427489,61192943,3404289,233138,233138,
,,,,,,,,,
MC/Data w/o QCD,108,61,94,93,93,82,89,89,
MC/Data,2303,84,105,104,104,111,98,98,
Data/MC,4,119,96,96,96,90,102,102,
