Cuts,No Cut,trigger,1 tight lep,loose #mu veto,loose #it{e} veto,2 jet sel.,1 b jet sel.,MET Filters,mTW>50
Run B_ver1,1936951,753139,456096,434295,433984,14031,1297,1296,
Run B_ver2,135100400,75495206,43476698,41400701,41370691,1312743,124272,124226,
Run C,59481717,34235856,19147451,18199774,18186312,583605,54901,54870,
Run D,88016592,55188757,31072972,29553913,29532508,942237,87380,87346,
Run E,81280286,53772130,29241392,27757509,27736973,880128,81754,81722,
Run F,51591822,34691219,18738808,17775704,17762574,569325,52557,52541,
,,,,,,,,,
data,417407768,254136307,142133417,135121896,135023042,4302069,402161,402001,
,,,,,,,,,
Tchannel,666431,174548,126570,125803,125345,46467,24824,24824,
Tbarchannel,412170,116605,84886,84379,84066,30191,16325,16325,
Total_tch,1078601,291153,211456,210182,209412,76658,41149,41149,
TWChannel,484389,200525,146231,139958,138668,50174,23276,23276,
TbarWChannel,484411,200483,145839,139602,138325,50098,23096,23096,
SChannel,20793,7763,5557,5517,5496,1995,989,989,
Total_twS,989593,408771,297627,285077,282488,102266,47361,47361,
TTbar Semi,4278869,1522305,1082976,1075459,1069033,278491,130544,130544,
TTbar Fully,1339784,660456,445296,383313,374073,130164,67967,67967,
Total_ttbar,5618653,2182761,1528272,1458772,1443105,408655,198511,198511,
Wp0Jets,307190388,138152075,95500369,95388560,95367183,107939,2473,2473,
Wp1Jets,64641177,27584182,20456693,20428730,20400523,166561,2633,2633,
Wp2Jets,26536221,10431057,7781783,7770255,7751631,3079572,61658,61658,
Total_wJets,398367787,176167313,123738845,123587546,123519338,3354073,66763,66763,
DYJets,58163499,26904543,12915846,7027875,7014624,235056,8700,8700,
WWTo2L2NU,138326,70529,48748,42990,42296,4792,60,60,
WZTo2L2Q,52625,21667,11926,6528,6501,1771,25,25,
ZZTo2L2Q,32240,13554,7471,4036,4016,1128,111,111,
Total_Diboson,58386690,27010292,12983992,7081429,7067437,242746,8896,8896,
QCD,4157854109,79177285,10780140,10461419,10455456,525746,77198,77198,
Total MC w/o QCD,464441324,206060290,138760191,132623005,132521780,4184398,362680,362680,
Total MC,4622295433,285237575,149540331,143084424,142977236,4710144,439878,439878,
,,,,,,,,,
MC/Data w/o QCD,111,81,98,98,98,97,90,90,
MC/Data,1107,112,105,106,106,109,109,109,
Data/MC,9,89,95,94,94,91,91,91,
