Cuts,No Cut,trigger,1 tight lep,loose #mu veto,loose #it{e} lep veto,2 jet sel.,1 b jet sel.,MET Filters,mTW>50
Run B,109546637,54374919,32187548,30320733,30297613,1057233,97224,97195,
Run C,156125973,112735706,66002644,62238859,62192443,2154733,199552,199474,
Run D,65985235,47444903,28028705,26455758,26436050,917816,85447,85423,
Run E,142272854,104868009,60507013,56996635,56951451,2022448,187183,187129,
Run F,218687151,159847314,85762612,80645757,80578149,2906785,257463,257381,
data,692617850,479270851,272488522,256657742,256455706,9059015,826869,826602,
,,,,,,,,,
Tchannel,1422107,354471,259042,257004,256065,95293,53259,53259,
Tbarchannel,864670,223549,163919,162651,162044,58484,32527,32527,
Total_tch,2286777,578019,422961,419655,418108,153777,85785,85785,
TWChannel,1024035,398457,295904,281267,278720,100418,46817,46817,
TbarWChannel,1023661,398299,295669,280964,278444,100332,46857,46857,
SChannel,44322,14872,10803,10701,10659,3880,1963,1963,
Total_twS,2092018,811628,602376,572932,567823,204630,95637,95637,
TTbar Semi,9007341,2984431,2169731,2150014,2137461,546421,258615,258615,
TTbar Fully,2834409,1306623,902468,760890,743019,256449,136725,136725,
Total_ttbar,11841750,4291054,3072199,2910903,2880480,802870,395340,395340,
Wp0Jets,671452408,257328056,173385109,173048169,173003505,225052,6048,6048,
Wp1Jets,139470986,52852022,39505308,39422003,39371245,406585,5203,5203,
Wp2Jets,56512862,20168684,15239044,15205389,15171431,6135074,105796,105796,
Total_wJets,867436256,330348762,228129461,227675562,227546181,6766711,117047,117047,
DYJets,123454074,52147440,26131693,12712031,12689535,648313,23312,23312,
WWTo2L2NU,294497,137491,96079,83166,81857,9913,102,102,
WZTo2L2Q,90232,35179,20533,10165,10124,2848,33,33,
ZZTo2L2Q,68497,27381,16089,7852,7820,2271,235,235,
Total_Diboson,123907300,52347491,26264393,12813214,12789336,663345,23681,23681,
QCD,10657790568,109360283,14641669,14111538,14097438,1063745,151748,151748,
Total MC w/o QCD,1007564101,388376955,258491390,244392266,244201928,8591333,717490,717490,
Total MC,11665354669,497737239,273133059,258503805,258299365,9655077,869239,869239,
,,,,,,,,,
MC/Data w/o QCD,85,85,85,85,85,85,85,87,
MC/Data,102.96,102.96,102.96,102.96,102.96,102.96,102.96,105.16,
