Cuts,No Cut,trigger,1 tight lep,loose #it{e} veto,loose #mu veto,2 jet sel.,1 b jet sel.,MET Filters,mTW>50
Run B,240833838,159638282,50219865,46241308,46015241,2450676,191686,191593,191593
Run C,108425191,65153370,26050935,23995752,23884908,1252053,98843,98796,98796
Run D,104847991,62133861,24354856,22451612,22346915,1197459,92320,92284,92284
Run E,529595952,292093364,113338932,104521215,104063213,5488419,422556,422393,422393
,,,,,,,,,
data,983702972,579018877,213964588,197209887,196310277,10388607,805405,805066,805066
,,,,,,,,,
Tchannel,2124505,310848,211617,210365,208803,78305,45626,45626,45626
Tbarchannel,1278454,194565,135157,134343,133347,48513,27885,27885,27885
Total,3402959,505413,346774,344709,342150,126819,73511,73511,73511
TWChannel,949923,287469,205796,195117,172450,61335,43707,43707,43707
TbarWChannel,1495505,452858,324232,307403,271727,96611,44904,44904,44904
SChannel,65918,15629,10195,10130,10036,3688,1872,1872,1872
Total,2511346,755955,540223,512650,454213,161634,90483,90483,46776
TTbar Semi,13242297,3329581,2362571,2341421,2320997,579986,278083,278083,278083
TTbar Fully,4160829,1500475,1015182,850497,507924,179259,94683,94683,94683
Total,17403126,4830056,3377754,3191918,2828922,759245,372767,372767,372767
Wp0Jets,970589708,210147425,111779448,111763726,111596097,135869,2359,2359,2359
Wp1Jets,205795833,55145438,35379275,35323010,35258938,378549,5420,5420,5420
Wp2Jets,84924960,22234102,14531163,14488899,14459457,5981214,114554,114554,114554
Total,1261310501,287526965,161689886,161575636,161314493,6495631,122333,122333,119974
DYJets,184996570,57701103,27966763,11176255,11095032,973210,34741,34741,34741
WWTo2L2NU,431912,149854,93584,79614,50107,5474,79,79,79
WZTo2L2Q,164399,52307,29967,14095,13928,4337,57,57,57
ZZTo2L2Q,101020,33176,19026,8705,8592,2792,309,309,309
Total,185693902,57936440,28109340,11278669,11167659,985814,35185,35185,366
QCD,40920936294,141964231,22391658,22350191,22342427,2406233,70859,70859,70859
Total MC w/o QCD,,,,,,,,,
Total MC,42391258128,493519061,216455634,199253772,198449863,10935376,765139,765139,765139
,,,,,,,,,
MC/Data w/o QCD,,,,,,,,,
MC/Data,4309.35550003401,85.2336737684633,101.164232695365,101.036401055288,101.08990036217,105.263160113767,95.0005165103271,95.0405196592577,95.0405196592577
Data/MC,,,,,,,,,
