Cuts,No Cut,trigger,1 tight lep,loose #mu veto,loose #it{e} veto,2 jet sel.,1 b jet sel.,MET Filters,mTW>50
Run A,222714070,192806427,109966500,104397898,104317746,3464484,332785,332667,332667
Run B,113414332,99085659,57479473,54610195,54567160,1781256,172218,172133,172133
Run C,104186619,91339627,52892855,50235046,50194400,1662639,158609,158548,158548
Run D,486343850,426344660,246929605,234629156,234442807,7644681,730568,730290,730290
,,,,,,,,,
data,926658871,809576373,467268433,443872295,443522113,14553060,1394180,1393638,1393638
,,,,,,,,,
Tchannel,2124294,573443,426736,423602,422065,157895,91326,91326,91326
Tbarchannel,1278454,358364,267684,265753,264773,96178,55122,55122,55122
Total_tch,3402748,931807,694420,689355,686838,254073,146448,146448,146448
TWChannel,1117504,459473,343380,328169,325298,117180,56177,56177,56177
TbarWChannel,1495505,615324,459861,439601,435748,156983,75196,75196,75196
SChannel,65918,24118,17803,17646,17576,6423,3253,3253,3253
Total_twS,2678927,1098915,821043,785417,778622,280587,134626,134626,134626
TTbar Semi,13242297,4673865,3429882,3400883,3381141,859617,413469,413469,413469
TTbar Fully,4148539,2034809,1408474,1210073,1182140,406564,220148,220148,220148
Total_ttbar,17390837,6708673,4838356,4610956,4563282,1266181,633617,633617,633617
Wp0Jets,970589708,423516744,301630230,301124242,301049941,387598,10855,10855,10855
Wp1Jets,205864101,85818494,65286559,65163819,65079163,653316,9407,9407,9407
Wp2Jets,84932492,32692395,25080711,25029998,24974622,10030574,184471,184471,184471
Total_wJets,1261386302,542027633,391997500,391318060,391103726,11071488,204733,204733,204733
DYJets,185130262,83028906,41661083,22849837,22807272,1073123,38464,38464,38464
WWTo2L2NU,431971,216902,153404,135194,133129,15865,181,181,181
WZTo2L2Q,164399,66655,37483,20467,20380,5619,72,72,72
ZZTo2L2Q,101004,41772,23538,12667,12614,3595,373,373,373
Total_Diboson,185827637,83354235,41875507,23018165,22973395,1098201,39091,39091,39091
QCD,515561673421,6041628506,995503813,982926854,982884583,4614431,336837,336837,336837
Total MC w/o QCD,,,,,,,,,
Total MC,517032359872,6675749768,1435730639,1403348807,1402990446,18584961,1495351,1495351,1495351
,,,,,,,,,
MC/Data w/o QCD,,,,,,,,,
MC/Data,55795,825,307,316,316,128,107,107,107
