DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.932707+(0.00201163*(log(x+19)*(log(x+18)*(3-(0.36597*log(x+18))))))" 
0, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.932707+(0.00201163*(log(x+19)*(log(x+18)*(3-(0.36597*log(x+18))))))" 
0, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "0.932707+((0.00201163*(log(x+19)*(log(x+18)*(3-(0.36597*log(x+18))))))-0.05452144518494606)" 
0, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "0.932707+((0.00201163*(log(x+19)*(log(x+18)*(3-(0.36597*log(x+18))))))-0.016712063923478127)" 
0, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "0.932707+((0.00201163*(log(x+19)*(log(x+18)*(3-(0.36597*log(x+18))))))-0.024424813687801361)" 
0, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "0.932707+((0.00201163*(log(x+19)*(log(x+18)*(3-(0.36597*log(x+18))))))-0.030156092718243599)" 
0, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "0.932707+((0.00201163*(log(x+19)*(log(x+18)*(3-(0.36597*log(x+18))))))-0.024411454796791077)" 
0, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "0.932707+((0.00201163*(log(x+19)*(log(x+18)*(3-(0.36597*log(x+18))))))-0.025620505213737488)" 
0, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "0.932707+((0.00201163*(log(x+19)*(log(x+18)*(3-(0.36597*log(x+18))))))-0.13388395309448242)" 
0, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "0.932707+((0.00201163*(log(x+19)*(log(x+18)*(3-(0.36597*log(x+18))))))-0.075514756143093109)" 
0, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.932707+((0.00201163*(log(x+19)*(log(x+18)*(3-(0.36597*log(x+18))))))-0.19867934286594391)" 
0, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "0.932707+((0.00201163*(log(x+19)*(log(x+18)*(3-(0.36597*log(x+18))))))-0.021808577701449394)" 
0, comb, down, 0, -2.5, 2.5, 30, 50, 0, 1, "0.932707+((0.00201163*(log(x+19)*(log(x+18)*(3-(0.36597*log(x+18))))))-0.0066848257556557655)" 
0, comb, down, 0, -2.5, 2.5, 50, 70, 0, 1, "0.932707+((0.00201163*(log(x+19)*(log(x+18)*(3-(0.36597*log(x+18))))))-0.0097699258476495743)" 
0, comb, down, 0, -2.5, 2.5, 70, 100, 0, 1, "0.932707+((0.00201163*(log(x+19)*(log(x+18)*(3-(0.36597*log(x+18))))))-0.012062436901032925)" 
0, comb, down, 0, -2.5, 2.5, 100, 140, 0, 1, "0.932707+((0.00201163*(log(x+19)*(log(x+18)*(3-(0.36597*log(x+18))))))-0.0097645819187164307)" 
0, comb, down, 0, -2.5, 2.5, 140, 200, 0, 1, "0.932707+((0.00201163*(log(x+19)*(log(x+18)*(3-(0.36597*log(x+18))))))-0.01024820189923048)" 
0, comb, down, 0, -2.5, 2.5, 200, 300, 0, 1, "0.932707+((0.00201163*(log(x+19)*(log(x+18)*(3-(0.36597*log(x+18))))))-0.053553581237792969)" 
0, comb, down, 0, -2.5, 2.5, 300, 600, 0, 1, "0.932707+((0.00201163*(log(x+19)*(log(x+18)*(3-(0.36597*log(x+18))))))-0.030205903574824333)" 
0, comb, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.932707+((0.00201163*(log(x+19)*(log(x+18)*(3-(0.36597*log(x+18))))))-0.079471737146377563)" 
0, comb, up, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.932707+(0.00201163*(log(x+19)*(log(x+18)*(3-(0.36597*log(x+18)))))))+0.05452144518494606" 
0, comb, up, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.932707+(0.00201163*(log(x+19)*(log(x+18)*(3-(0.36597*log(x+18)))))))+0.016712063923478127" 
0, comb, up, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.932707+(0.00201163*(log(x+19)*(log(x+18)*(3-(0.36597*log(x+18)))))))+0.024424813687801361" 
0, comb, up, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.932707+(0.00201163*(log(x+19)*(log(x+18)*(3-(0.36597*log(x+18)))))))+0.030156092718243599" 
0, comb, up, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.932707+(0.00201163*(log(x+19)*(log(x+18)*(3-(0.36597*log(x+18)))))))+0.024411454796791077" 
0, comb, up, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.932707+(0.00201163*(log(x+19)*(log(x+18)*(3-(0.36597*log(x+18)))))))+0.025620505213737488" 
0, comb, up, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.932707+(0.00201163*(log(x+19)*(log(x+18)*(3-(0.36597*log(x+18)))))))+0.13388395309448242" 
0, comb, up, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.932707+(0.00201163*(log(x+19)*(log(x+18)*(3-(0.36597*log(x+18)))))))+0.075514756143093109" 
0, comb, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.932707+(0.00201163*(log(x+19)*(log(x+18)*(3-(0.36597*log(x+18)))))))+0.19867934286594391" 
0, comb, up, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.932707+(0.00201163*(log(x+19)*(log(x+18)*(3-(0.36597*log(x+18)))))))+0.021808577701449394" 
0, comb, up, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.932707+(0.00201163*(log(x+19)*(log(x+18)*(3-(0.36597*log(x+18)))))))+0.0066848257556557655" 
0, comb, up, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.932707+(0.00201163*(log(x+19)*(log(x+18)*(3-(0.36597*log(x+18)))))))+0.0097699258476495743" 
0, comb, up, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.932707+(0.00201163*(log(x+19)*(log(x+18)*(3-(0.36597*log(x+18)))))))+0.012062436901032925" 
0, comb, up, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.932707+(0.00201163*(log(x+19)*(log(x+18)*(3-(0.36597*log(x+18)))))))+0.0097645819187164307" 
0, comb, up, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.932707+(0.00201163*(log(x+19)*(log(x+18)*(3-(0.36597*log(x+18)))))))+0.01024820189923048" 
0, comb, up, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.932707+(0.00201163*(log(x+19)*(log(x+18)*(3-(0.36597*log(x+18)))))))+0.053553581237792969" 
0, comb, up, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.932707+(0.00201163*(log(x+19)*(log(x+18)*(3-(0.36597*log(x+18)))))))+0.030205903574824333" 
0, comb, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.932707+(0.00201163*(log(x+19)*(log(x+18)*(3-(0.36597*log(x+18)))))))+0.079471737146377563" 
1, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.921599+(0.000862106*(log(x+19)*(log(x+18)*(3-(0.139754*log(x+18))))))" 
1, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.921599+(0.000862106*(log(x+19)*(log(x+18)*(3-(0.139754*log(x+18))))))" 
1, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "0.921599+((0.000862106*(log(x+19)*(log(x+18)*(3-(0.139754*log(x+18))))))-0.097870342433452606)" 
1, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "0.921599+((0.000862106*(log(x+19)*(log(x+18)*(3-(0.139754*log(x+18))))))-0.031198974698781967)" 
1, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "0.921599+((0.000862106*(log(x+19)*(log(x+18)*(3-(0.139754*log(x+18))))))-0.046441130340099335)" 
